	place	lon	lat
329	泉岳寺	35.6377136	139.7363091
330	神田明神神社	35.7020403	139.7680268
331	鎌倉大佛	35.3166995	139.5361536
332	伊豆半島	34.856636	138.938598
333	大室山登山吊車	34.9031665	139.0944694
334	東伊豆沿海溫泉鄉	 	 
335	伊豆海濱觀景列車	 	 
336	伊豆高原	34.8777634	139.1083503
337	稻取	34.774544	139.037391
338	河津360°迴旋橋	34.7919323	138.9391499
339	天城峠	34.8279926	138.9344437
340	川端康成	35.3269132	139.5656337
341	伊豆舞孃紀念像	 	 
342	紅磚赤瓦倉庫群屋	 	 
343	新橫濱拉麵博物館	35.509853	139.6145449
344	八景島海洋樂園水族館	35.336588	139.644753
345	迪士尼海洋世界	35.6267108	139.8850779
346	六本木CITY VIEW展望台	35.6600711	139.7290686
347	史努比博物館	35.6596407	139.7340749
348	DiverCity Tokyo Plaza	35.62504620000001	139.7754533
349	益子町	36.4673531	140.093378
350	淺草寺	35.7147651	139.7966553
351	東京地鐵	35.681298	139.7662469
352	外池酒造廠參觀	 	 
353	試飲→摘採季節水果	 	 
354	大谷資料館	36.5999521	139.8248327
355	大谷石觀音	36.5967651	139.8207044
356	那須鹽原	36.931771	140.021192
357	GARDEN OUTLET	40.6601139	-74.1715816
358	那須	37.0197314	140.1210169
359	清流之里	32.21367	130.7602
360	那須菓子城	37.0170828	140.0304501
361	彩繪玻璃美術館	37.0655407	140.0248992
362	鬼怒川溫泉區	36.3665274	139.8458379
363	上野動物園	35.7164535	139.7713177
364	上野恩賜公園	35.7149752	139.7724738
365	秋葉原電器街	35.698353	139.7731143
366	日光江戶忍者村	36.7907889	139.6974553
367	葛西臨海水族園	35.640094	139.862165
368	東京鐵塔	35.6585805	139.7454329
369	長谷寺	35.3124645	139.5330634
370	晴空塔	35.7100627	139.8107004
371	日光國立公園	36.8595801	139.7173626
372	龍王峽	36.85961280000001	139.7173707
373	朱紅神橋	 	 
374	陽明門	36.7577336	139.59879
375	足利藤花公園	36.3149959	139.5220142
376	常陸海濱公園	36.4019017	140.5918853
377	市貝町芝櫻公園	36.6194923	140.1183054
378	裏磐梯	37.648751	140.064127
379	五色沼	37.6520751	140.0784178
380	大谷資料館	36.5999521	139.8248327
381	袋田瀑布	36.7645486	140.4071966
382	鬼怒川溫泉	36.822609	139.716556
383	陽光國際水族館	 	 
384	偕樂園	36.37262630000001	140.4521765
385	吹割瀑布	36.70191	139.2068793
386	森美術館	35.6603747	139.7292313
387	靖國神社	35.694136	139.743849
388	杯麵博物館	35.509853	139.6145449
389	箱根玻璃森林美術館	35.2452533	139.0513245
390	武士博物館	35.6954844	139.7035426
391	國技館	35.6969104	139.7935116
392	惠比壽啤酒紀念館	35.6432025	139.7145503
393	國立西洋美術館	35.7153869	139.7758138
394	Pola美術館	35.256693	139.021227
395	Bunkamura 美術館	35.6606615	139.6951455
396	舊芝離宮恩賜庭園	35.6557991	139.758046
397	東京都美術館	35.717181	139.772818
398	東京都庭園美術館	35.6369465	139.7190408
399	東京國立科學博物館	35.716357	139.7763826
400	國立新美術館	35.665289	139.726374
401	墨田水族館	35.7100244	139.8097933
402	東京國立博物館	35.7188351	139.7765215
403	不忍池	35.7116568	139.7704851
404	根津美術館	35.662243	139.717093
405	江戶東京博物館	35.6965972	139.7957336
406	東京國立近代美術館	35.6905432	139.7546932
407	葛西臨海公園	35.6422653	139.8603029
408	目黑川	35.6442877	139.6990956
409	平和公園	32.77544	129.8630333
410	清澄庭園	35.6806762	139.7978043
411	橫濱動物園	35.493989	139.5273029
412	東洋那不勒斯	 	 
413	熱海	35.0962764	139.0717047
414	熱海梅園	35.0976594	139.0594587
415	三笠公園	35.2856575	139.673981
416	金色夜叉銅像	35.0989899	139.0767774
417	湘南海岸	35.31374150000001	139.4752678
418	成田山新勝寺	35.786095	140.318286
419	新勝寺	35.786095	140.318286
420	山中湖溫泉鄉	35.4192452	138.8537189
421	忍野八海	35.4607382	138.8329494
422	日光江戸村	36.7907889	139.6974553
423	水戶偕樂園	36.37262630000001	140.4521765
424	水戶城	36.3751546	140.4789347
425	足利氏館	36.3375029	139.4522804
426	江戶城	35.687747	139.75469
427	八王子城	35.6527607	139.2563473
428	小田原城	35.25094929999999	139.1535136
429	金澤城	36.563976	136.6595067
430	鳩森八幡神社	35.6776978	139.7093689
431	品川神社	35.6184352	139.739616
432	駒込富士神社	35.73121769999999	139.7511469
433	護國寺	35.7217463	139.7256126
434	八坂神社	35.0036559	135.7785534
435	成子天神社	35.696209	139.692373
436	島根鷲神社	35.785099	139.796926
437	富賀岡八幡宮	35.671948	139.799562
438	江古田淺間神社	35.7383058	139.6723836
439	豐川稻荷東京別院	35.6763119	139.7328652
440	鷲神社	35.722501	139.791961
441	金王八幡宮	35.6577022	139.7064535
442	皆中稻荷神社	 	 
443	穴八幡宮	35.707225	139.717353
444	小網神社	35.684124	139.780469
445	不忍池辯天堂	35.712127	139.7710922
446	豪德寺	35.6487555	139.6474813
447	明治神宮外苑	35.6787954	139.7175945
448	殿谷戶庭園	35.6987167	139.4820151
449	奧多摩	35.8095427	139.0961971
450	井之頭公園	35.6997435	139.5731906
451	目黑雅敘園	35.631379	139.715256
452	日比谷公園	35.6718388	139.7551457
453	龜戶天神社	35.7030733	139.8206484
454	神田明神	35.7020403	139.7680268
455	牛嶋神社	35.71296299999999	139.804724
456	烏森神社	35.6667806	139.7567964
457	赤塚冰川神社	35.78543459999999	139.6400584
458	龜戶天神	35.6973338	139.8265659
459	高藏寺	35.2631184	137.045074
460	高源院	36.933441	138.387666
461	湯島天滿宮	35.7078182	139.7682188
462	西新井大師	35.780236	139.779973
463	高幡不動尊金剛寺	35.662272	139.409736
464	寬永寺清水觀音堂	35.721753	139.7746162
465	增上寺	35.6574236	139.7482079
466	成福寺	35.343311	139.537088
467	世田谷觀音寺	 	 
468	春慶寺	35.7087328	139.8123043
469	喜多院	35.917527	139.488999
470	正光寺	35.784358	139.722625
471	正樂院	 	 
472	威光寺	36.2921244	139.3431143
473	築地本願寺	35.6664743	139.7723221
474	九品佛淨真寺	35.608205	139.661281
475	上野公園	35.7149752	139.7724738
476	隅田公園	35.7109726	139.7986808
477	千鳥之淵	35.6896487	139.7486423
478	巢鴨車站	35.733705	139.740349
479	辰巳の森海浜公園	35.648484	139.815722
480	伊豆大島	34.7408836	139.3856256
481	川越	35.9251006	139.485793
482	橫濱	35.4437078	139.6380256
483	鎌倉	35.3192254	139.5466868
484	江島神社	35.3002485	139.480048
485	高德院鎌倉大佛	35.3166995	139.5361536
486	石之教堂	36.356321	138.587111
487	繪本之森美術館	35.6603747	139.7292313
488	雲場池	36.3509387	138.6268283
489	舊三笠賓館	36.37319919999999	138.6262422
490	石之教會	36.356321	138.587111
491	輕井澤王子購物城	36.3414309	138.6380481
492	芝公園	35.65493800000001	139.7479837
493	高原教堂	36.358117	138.589361
494	三溪園	35.417967	139.661428
495	大先生大橋	35.4511766	139.6473228
496	大湧谷	35.2431054	139.019884
497	武士博物馆	35.6954844	139.7035426
498	横滨红砖仓库	35.4522984	139.6431304
499	千鳥淵	35.6896487	139.7486423
500	八芳園	35.6384021	139.7286788
501	森大廈 六本木之丘展望台	35.6600711	139.7290686
502	忠犬八公像	35.6590548	139.7005662
503	丸之內	35.6773301	139.7652144
504	神樂坂	35.7019042	139.7404624
505	六本木之丘	35.6604638	139.7292487
506	東京巨蛋	35.7056396	139.7518913
507	東京大學	35.7126775	139.761989
508	葛西臨海水族園	35.640094	139.862165
509	上野動物園	35.7164535	139.7713177
510	澀谷中央街	35.6575054	139.6966319
511	日枝神社	35.6747103	139.7395557
512	日本科學未來館	35.6192251	139.7767624
513	目黑川	35.6442877	139.6990956
514	下北澤	38.4906634	140.9138125
515	赤坂離宮	35.6802887	139.72864
516	築地本願寺	35.6664743	139.7723221
517	清澄庭園	35.6806762	139.7978043
518	皇居	35.685175	139.7527995
519	日本橋	35.6804104	139.7716528
520	惠比壽啤酒紀念館	35.6432025	139.7145503
521	惠比壽花園廣場	35.642145	139.713487
522	花園神社	35.693557	139.705169
523	墨田水族館	35.7100244	139.8097933
524	三菱美術館	35.6783317	139.7632194
525	柴又帝釋天	35.7583885	139.8781244
526	六本木	35.6641222	139.729426
527	葛西臨海公園	35.6422653	139.8603029
528	21_21Design sight美术馆	35.6674814	139.7303388
529	日本國會議事堂	35.675888	139.744858
530	東京鐵塔航海王主題樂園	35.658597	139.7453697
531	新大久保韓國城	35.7013008	139.7000494
532	湯島天滿宮	35.7078182	139.7682188
533	深川江戶資料館	35.6811859	139.8005921
534	豪德寺	35.6487555	139.6474813
535	舊古河庭園	35.7431021	139.7466984
536	舊岩崎府邸庭園	35.70976	139.767205
537	龜戶天神社	35.7030733	139.8206484
538	谷中灵园	35.724811	139.771504
539	澀谷109百貨	35.65955	139.699068
540	台場自由女神像	35.6278435	139.7718235
541	水天宮	35.6836632	139.785063
542	有棲川宮紀念公園	35.6522586	139.7256462
543	深川不動堂	35.6728891	139.7983222
544	日本武道館	35.6933175	139.749885
545	池上本門寺	35.5805494	139.7050034
546	品川水族館	35.588476	139.7375007
547	東京杜莎夫人蠟像館	22.2711757	114.1497252
548	新宿中央公園	35.6891166	139.6897193
549	城南島海濱公園	35.578304	139.783423
550	太田現代美術博物館	35.6693959	139.7049808
551	鬼子母神	35.7221261	139.7133058
552	善國寺	35.7013945	139.7394497
553	北之丸公園	 	 
554	NHK放送主題公園	 	 
555	東京國立博物館 平成館	35.7199762	139.775649
556	尼古拉東正教教堂	 	 
557	水元公園	35.78643	139.869265
558	隅田公園	35.7109726	139.7986808
559	陽光城60展望台	35.729387	139.718191
560	消防博物館	24.806486	120.968076
561	石神井公園	35.743645	139.606555
562	和田倉噴泉公園	35.6831265	139.7613228
563	Lala Port豐洲	35.6558598	139.7925668
564	勝哄橋	35.6623015	139.774817
565	三得利美术馆	35.6664602	139.7303996
566	貨幣博物館	35.685371	139.7717915
567	东京乐高乐园探索中心	35.6292768	139.7766049
568	淺草花屋敷遊樂園	35.715285	139.794544
569	東京跨海大橋	35.6365639	139.7631443
570	地鐵博物館	31.169497	121.366271
571	高田馬場	35.7131017	139.700335
572	東鄉神社	35.6717973	139.7058476
573	山種美術館	35.653301	139.713799
574	乃木神社	35.6688939	139.728051
575	科學技術館	35.691589	139.753069
576	原宿Laforet	35.6690659	139.705482
577	高岛屋时代广场	35.6876523	139.7023583
578		 	 
579		 	 
